ds,y
2024-04-20 12:00:00,26.33333333333333
2024-04-20 13:00:00,24.5
2024-04-20 14:00:00,33.166666666666664
2024-04-20 15:00:00,34.833333333333336
2024-04-20 16:00:00,44.8
2024-04-20 17:00:00,53.75
2024-04-20 18:00:00,28.5
2024-04-20 19:00:00,31.0
2024-04-20 20:00:00,34.0
2024-04-20 21:00:00,24.75
2024-04-20 22:00:00,32.75
2024-04-20 23:00:00,31.25
2024-04-21 00:00:00,5.0
2024-04-21 01:00:00,0.0
2024-04-21 02:00:00,0.0
2024-04-21 03:00:00,0.0
2024-04-21 04:00:00,0.0
2024-04-21 05:00:00,0.0
2024-04-21 06:00:00,4.0
2024-04-21 07:00:00,5.0
2024-04-21 08:00:00,6.0
2024-04-21 09:00:00,12.5
2024-04-21 10:00:00,13.75
2024-04-21 11:00:00,28.25
2024-04-21 12:00:00,32.25
2024-04-21 13:00:00,40.5
2024-04-21 14:00:00,36.0
2024-04-21 15:00:00,44.5
2024-04-21 16:00:00,39.5
2024-04-21 17:00:00,38.75
2024-04-21 18:00:00,39.0
2024-04-21 19:00:00,32.5
2024-04-21 20:00:00,31.0
2024-04-21 21:00:00,29.0
2024-04-21 22:00:00,13.0
2024-04-21 23:00:00,13.0
