model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val
1,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.8658930574144637,0.31368329189834465,4.347540550572532,1.5357350041161226,5.401352982861655,0.47816219479500105,5.927649280003139,2.134574550565835
2,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.111994736535209,0.3633572810897814,4.812545732089451,2.069751587955404,5.676981857844761,0.5657961615922924,6.511569239412036,2.7156662964382234
3,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.1938588057245525,0.4130911398726579,5.036976189272744,3.3340535579644723,5.776955945151193,0.5954555490122048,6.767759656906128,3.703390038692042
4,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.965554302079337,0.3276917640601342,4.811356849329812,1.4709559381699864,5.472188704354423,0.49123631905255305,6.5598870056016105,2.1259011192641695
5,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9576881068093437,0.3430017643177993,4.795966133049556,1.3994170537292592,5.5648711732455665,0.5290044173094379,6.551824365343366,1.9998499727780408
6,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.1166337217603415,0.3820864450069732,5.16438182592392,1.8858875814600295,5.687123131752014,0.56268068917752,6.976004588603973,2.5197524653643164
7,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.8877555302211215,0.27955955584362535,4.754131272860936,1.4126084285397271,5.474088612624577,0.43715670022560277,6.493034214632852,2.066143829457027
8,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.046433552673885,0.38927084715439486,4.620274657862527,2.0312929079412902,5.672907873562404,0.6004573070373892,6.3065186483519415,2.727833943098389
9,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.10417697940554,0.38055365188906604,4.748425699983325,2.0444837021320184,5.668054318428039,0.582220451651873,6.474623884473528,2.7081947935194197
10,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.93206216948373,0.32970130022120325,4.78948530129024,1.4348320924339824,5.43055842603956,0.48888850648422294,6.535726511478424,2.060777843037578
11,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.043209190028055,0.4228641918380135,4.709743704114642,1.9542137710590888,5.699837691443307,0.6406625951663246,6.382113369873592,2.597466641537278
12,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9099214707102092,0.3513930028211234,4.910807052680425,1.9500034794526029,5.506610068253108,0.537129755045634,6.697036669935499,2.5411232117941553
13,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.022761356830597,0.4080747026863068,5.068481298855373,1.9572531285231105,5.660663207939693,0.612893310597106,6.876430819715773,2.565603010813417
14,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.076584666115897,0.40353415592292774,4.70662670305797,2.011373427003008,5.743308787686484,0.6189133384077102,6.412401064804622,2.6935987119677542
15,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.0890756181308205,0.3916203847077061,4.875986351285662,2.32578829129946,5.633321818283626,0.5895499124453226,6.558582319532122,2.835461889825354
16,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.06567782333919,0.39481001671565713,5.152617984158653,2.1181420841499907,5.720441838673183,0.5998987345450927,6.951288945334298,2.7239401843409694
17,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9022280420575823,0.27490967561784746,4.746610873086112,1.408526319584092,5.489901367255619,0.4358294180079045,6.487797379493713,2.0640191126765686
18,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.05016016960144,0.40174053069178334,4.70994827917644,1.8372949362765931,5.701069932324546,0.6207391083248904,6.401894663061414,2.547465227753853
19,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.091113325527736,0.3746813914132827,5.041037876265389,1.9754385961464447,5.747550347873143,0.5769368486503466,6.821400896140507,2.562945827846865
20,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.116113095624106,0.395764117308565,4.809083117757525,2.0473249993209977,5.789611669949123,0.6025034746321969,6.514672226565224,2.702613422885843
21,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.8654391765594482,0.3136048752405253,4.346821635110038,1.5373716252427634,5.401340932505471,0.4781806843727416,5.927587693078177,2.1369196295989634
22,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.07708010843822,0.4034913798576845,4.705076992511749,2.0119410160935747,5.74334181206567,0.618820099827445,6.409444647175925,2.695021143894444
23,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.066299646241324,0.3949944761444952,5.1537333982331415,2.117896432223773,5.720756614208222,0.5999672101417904,6.952574922357287,2.7235544632793545
24,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.020069975512368,0.39905918486229003,5.041277922902789,1.9851796165761348,5.560287031105586,0.5915317761974275,6.86089917421341,2.6024866280135464
25,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.284298598766327,2.155962741830314,4.940864321163723,2.2613843044824358,6.033965562071119,3.046699675068637,6.645869621208736,2.875864031032433
26,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.0801667605127605,0.3817516946036112,5.116723683902196,2.0759761511606323,5.7377331256866455,0.5832366111586169,6.911055043765477,2.6916605662234496
27,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9750392062323434,0.35415610228573885,4.874281457492283,1.7726392292204782,5.493793163980756,0.529321522865796,6.6481541088649205,2.3964935299043
28,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.904257256644113,0.3159390351125276,4.427362399441855,1.6655463800705652,5.350561683518546,0.48047424740324535,6.013776315961565,2.196355757648228
29,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9473275899887086,0.3651588697922826,4.865990672792707,1.5326532973663693,5.460891166755132,0.5441627420107168,6.619247754982539,2.1758771176439025
30,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.068819420678275,0.4083876734971058,4.78347920519965,1.9970757745338925,5.7202708550861905,0.6150000726934841,6.464849598067147,2.6463115550000142
31,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.079509680611746,0.38180386355013224,5.116639935970307,2.07534381237194,5.737838300636836,0.5832549206550888,6.910186646665846,2.6917813791719065
32,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.158711179665157,0.3706902480246335,5.144906009946551,2.0490395967018205,5.7367819700922285,0.5457654398667467,6.947862529754639,2.6658325151364415
33,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9034352932657512,0.3158912680545926,4.4264999798366,1.6657561135058732,5.350327013220106,0.48055620257020637,6.013431796005794,2.1966114888292045
34,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.8993422848837715,0.2954429815238101,4.35626916374479,1.6089822392716449,5.339299614088876,0.4507572941653306,5.936200509752546,2.19377374798377
35,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9300141947610037,0.35730677120405935,4.90112612077168,1.7696092698633408,5.53288107429232,0.5408258637083565,6.678646671772003,2.361107207154468
36,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9402551310403005,0.34508713598793506,4.8272329568862915,1.5722559166607626,5.4498069746153694,0.510426809284246,6.5806775603975565,2.226554533614201
37,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.882849431037903,0.3038456762033776,4.339704740047455,1.508522406561844,5.419985749040332,0.4697150197863937,5.905637320450374,2.088511289904335
38,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9030471801757813,0.27505802388257067,4.746098978178842,1.407879131342346,5.4900816287313186,0.4358337393864484,6.487142239298139,2.063026348225128
39,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.037671869141715,0.38505800164336823,4.691308057308197,2.0433365152605307,5.665606340340205,0.5928400796513109,6.384289865834372,2.733843563590251
40,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.975099665778024,0.3542727359297464,4.877196655954633,1.7806106714256724,5.493445968627929,0.5292492981045455,6.651447149685451,2.4040302858869174
41,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.042172958169664,0.4021256387547042,5.036167854922159,1.968232247328959,5.682520309516362,0.6091704102407262,6.848077234200069,2.5901142468799057
42,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.060604541642325,0.3935093359668457,4.621824940613338,1.8660193707552026,5.710077319826398,0.620673345378373,6.323693568365915,2.533113253213909
43,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.103748474802289,0.3852621536476961,5.1410817725317814,2.138078242934652,5.766310804230827,0.5940922749650255,6.956648073877607,2.750799693037215
44,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9451618024281094,0.32575923272420687,4.807904192379543,1.5432808739673436,5.545534873008728,0.503216776584947,6.566648968628475,2.214616092140756
45,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.009374807562147,0.3886781141665329,4.988245599610465,1.9167912083851733,5.644584630216871,0.5911908742162524,6.79868950673512,2.555302018869333
46,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.887203369821821,0.2794277337119541,4.753743600845337,1.4138747408973484,5.474044595445905,0.4371428569674651,6.493313813209534,2.0683516016553036
47,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.132722408430917,0.37776716393689036,4.937906111989703,2.1465686122125356,5.700963914394379,0.5695813044192722,6.63760302407401,2.74500344991098
48,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.887353219304766,0.3225015335543583,4.753656111444745,1.4301252460237819,5.376637193134853,0.4794174918804153,6.493821690763746,2.0873568209309457
49,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.171651041507721,0.3796258741687876,4.886825718198504,2.0926444221541893,5.744480133056641,0.5701179908157521,6.597609543800354,2.7219698570057065
50,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.111070913927896,0.39189305491561743,5.179189724581582,2.0550072900409693,5.678933365004403,0.5804719656116134,6.980200837339674,2.6625874120109017
51,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.116696625096457,0.395813360217513,4.8090434006282265,2.0469167616888186,5.789716417448862,0.6024852208375105,6.514220699242183,2.70180516635466
52,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.0945011632783075,0.40005279996466564,4.726762361185891,2.0084637877390676,5.748993677752359,0.614509056055932,6.445224479266575,2.677810854050773
53,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9537193962505888,0.37170054938074254,4.8624937466212685,1.6495837078481288,5.565000665187836,0.5735265133672076,6.6278738447598045,2.305553950115704
54,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.070306672368731,0.4069337458601357,5.066643328326089,1.990186713694336,5.620475055490221,0.5994440603110882,6.892354157992772,2.6166465197453794
55,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.167228761741093,0.49053360689471376,5.044611741815294,3.1815556020635554,5.7445168699537,0.6534481611216925,6.759546673297882,3.547752977055163
56,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.084114948340825,0.3815074250213236,4.786339947155544,2.035813146509456,5.644282543659211,0.5792653469467569,6.493954081194741,2.6913029495660337
57,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9317596180098398,0.3297329732217055,4.793303908620562,1.4313480672626682,5.430330327578953,0.488848694061039,6.538590031010764,2.059359454986801
58,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",5.795467507839203,19.684040920866643,5.82118878194264,12.475888756959248,8.100718011174884,27.13863808944697,7.96025093282972,17.409343524627868
59,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.9301422783306665,0.357141266025039,4.901348800318582,1.7695756419509099,5.532479095458984,0.5405609490435769,6.676041848318917,2.357343501461994
60,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.003212404251099,0.3996273220011294,5.057946402685983,1.969704099001569,5.540735352039337,0.5889883949755004,6.861154617582049,2.5791564159658016
61,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.94801424571446,0.3652869507911542,4.8645020791462485,1.532167353779885,5.461131720883506,0.5443364015143848,6.617182738440377,2.1743905841286493
62,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.879127211230142,0.31288936342597734,4.384200460570199,1.4687677880054744,5.319693102155413,0.46880284884688744,5.961416184902191,2.0178679457525033
63,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.037283628327506,0.38502890301460235,4.691100588866642,2.0429800712456583,5.6655523402350285,0.5929022654776059,6.384240284987858,2.7338395322785556
64,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.088637730053493,0.3916155224660282,4.8761766195297245,2.3253226874586126,5.633194715636117,0.5896111353856335,6.55905864749636,2.8355640244999107
