model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val
1,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.936429333686829,0.35857165301448696,4.453779911994934,1.694404381566208,5.517187108312334,0.5515445157920268,6.077673755373273,2.25951589991619
2,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.106312421389989,0.39982665308814064,4.8235488329614915,2.3892648828983787,5.679882335662842,0.6054163185677238,6.556036041464124,2.9901252297563654
3,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.15180105141231,0.3990062450498476,4.893360083443778,2.3901082005824135,5.731528639793396,0.6039473889306748,6.612853453840528,2.9698928586694247
4,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.071874029295785,0.3756488806554579,5.064801844528743,2.1290721414575535,5.624779576914651,0.5596677360058782,6.834680438041687,2.6475255912934577
5,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9617413231304712,0.331652104763987,4.854133444172995,1.6569700134143477,5.570849514007568,0.5217579837287608,6.622813064711434,2.3034564162911924
6,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.110624672685351,0.40896761374889395,5.313026263032641,2.3780316082889037,5.685685685702732,0.6047786578303374,7.109648372445788,2.910579755160214
7,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.9931472999708992,0.36333061179810694,5.010017507416862,1.9275717416222276,5.631523840767997,0.5558736910288486,6.760006693431309,2.4013278974045504
8,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.081083909102849,0.39087638303241395,4.709437310695648,2.3360277760932675,5.73496082510267,0.6073473259723043,6.419749079431806,2.9549663578696457
9,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.1041942392076765,0.37836112933777005,4.751289663996015,2.308601892387721,5.674876933438437,0.5876664550351048,6.463081933770861,2.935344674786065
10,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.054780192034585,0.3778055810268611,5.110510558741433,2.110231822938987,5.6068902015686035,0.557731586746134,6.875600692204067,2.6126232825079208
11,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.0557545781135556,0.40897545583102973,4.787510124274663,2.3402186360323967,5.720038901056562,0.6263236386404932,6.49690522977284,2.9621914121371558
12,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9158185005187987,0.3586573495976285,4.875105340140206,1.8645905383885168,5.516747030190059,0.5481330834102462,6.63445450919015,2.500643627026382
13,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.9548683319772993,0.321860656963686,4.920196519579206,1.6851383147557955,5.561165697234017,0.48598456602427215,6.676340399469648,2.2394843917425806
14,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.078985023498535,0.40128902753654316,4.694134756496974,2.172262927776041,5.748467760426657,0.624700381869829,6.40139444725854,2.8003723510120877
15,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.084971570968628,0.41746210949227736,4.878637904780252,2.3722344164572995,5.63757791178567,0.6255915244139072,6.574833527633122,2.9495500308891454
16,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.076943646158491,0.4096267129654176,5.167782037598746,2.229025354737417,5.745446160861424,0.6289275951399094,6.949205432619367,2.8285610214786576
17,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.01033593245915,0.3585676133550022,4.961285063198635,1.8542700994852666,5.650874762875693,0.5555934789845672,6.715664417403085,2.3634631396680734
18,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.047276382786887,0.3977591752664253,4.825500120435442,2.366521171097481,5.71109550169536,0.6154095178780523,6.534468059880393,3.0091238412449615
19,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.109213856288365,0.38662026341497296,5.130026410307203,2.2660448068644587,5.779916729245867,0.5995160217759234,6.930602066857475,2.876734763591235
20,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.121595120429992,0.39633556575802587,4.851000101225717,2.4571442986765435,5.801772371360234,0.6086164699021723,6.584101619039263,3.044388226739602
21,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9358970982687813,0.3584566581958606,4.45652950661523,1.696994749711035,5.517050898075103,0.5515262934496485,6.079719524724143,2.261414771540817
22,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.079277164595467,0.4014852988962212,4.694982763699123,2.170244833173761,5.748039845057896,0.6247671992584554,6.398482872758593,2.7939862172937033
23,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.07719829252788,0.40963414703716,5.168491527012416,2.2285773770293913,5.745267401422773,0.6289475524398412,6.948782547882625,2.828060544188412
24,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.955273616313934,0.3058974786084074,4.889527807916914,1.6595255032500706,5.460111708300454,0.45800210216410986,6.654520465646471,2.2489214919908087
25,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.16807735817773,0.7728492245835533,4.96465972491673,2.8393411656557572,5.892060564245496,1.279685860026995,6.707407849175589,3.435452470189529
26,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.056163004466465,0.3994506477717119,5.081563333102635,1.9898286427805558,5.7109775253704615,0.6177000721063935,6.853065916470119,2.582494078347713
27,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9611205220222474,0.33331641303666665,4.813791837011065,1.433727592432895,5.470127551896232,0.5027997982333117,6.553856224673135,1.9883673788104295
28,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9029473066329956,0.330499029831663,4.445270892551967,1.6383656609154584,5.3529108609472,0.49021224301333927,6.028539899417332,2.150131924424399
