model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val
1,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.8791167395455495,0.3138366140151688,4.378683112348829,1.6104492436317377,5.42401327746255,0.47327398944043914,5.954857407297407,2.1902488911354387
2,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.100799555437906,0.3887771418010118,4.7948721051216125,1.9720593320513207,5.663999916825976,0.5788869647272483,6.479067925044468,2.5556415046143743
3,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.29659286567143,1.841838392646182,4.792189010551998,1.9331915173671834,5.895248763901847,2.262744775182852,6.514271250792912,2.522279308336426
4,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.005446737153189,0.31389985211854365,4.856820164408003,1.4143021699334855,5.518990000656673,0.47724743459793,6.606962154592787,2.0013596750992457
5,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9462436999593464,0.33064692636502724,4.773545815263476,1.3617416772554984,5.557635973181044,0.5122955498535071,6.532626366615295,2.045347549477681
6,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.110805017607553,0.4030926087320641,5.149772672993796,1.997927945683123,5.676051717145103,0.5886550738034775,6.946392459528787,2.5632353850690097
7,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.9244475415774756,0.294941581182632,4.844304323196411,1.5871684022929233,5.525985251154219,0.4527021788441884,6.590999497686114,2.1793169375344745
8,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.079943442344666,0.35724067719814184,4.625538046019418,1.878404155836954,5.722783696651459,0.5545820952451799,6.284057634217398,2.443098652707789
9,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.104018245424543,0.36752747637728694,4.716575457368578,1.9264968943563405,5.665530863830021,0.5588870864980635,6.417638078757695,2.540873996130737
10,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.9643616233553205,0.316232006455902,4.899774650165013,1.5889852918422465,5.469132254804884,0.4704956718882956,6.649887301240649,2.1438760606936493
11,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.056663501262665,0.4187003824018074,4.736349512849535,1.9095445200157701,5.71485116141183,0.632792213397435,6.419570887088776,2.5373630205926223
12,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.918183616229466,0.3445543010590136,4.844181082929883,1.6401602940593685,5.518997042519706,0.5297258133000703,6.600113652433667,2.2431416451819315
13,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.9793228115354267,0.34274420909616204,4.964766344002315,1.8074588116676953,5.589286656039102,0.5184694262905917,6.70861280815942,2.332210659693903
14,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.075043216773442,0.39009524446644067,4.717836240359715,1.9199455593765573,5.737267458438874,0.5957656471921949,6.421790972777775,2.546942057659041
15,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.082227892535073,0.3860053577825748,4.718967608043125,1.892756802454707,5.625566688605717,0.5688109162233004,6.383489620685578,2.4672694921113427
16,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.070295056274959,0.38447992662154507,5.0759386573519025,1.9212759406778375,5.724198056970324,0.5768338458015541,6.881944220406669,2.511551326616267
17,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.9424304059573583,0.29124244525577875,4.904600107669831,1.7586898166930534,5.546313427175794,0.4546269617350102,6.659040396554129,2.300476842365282
18,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.0557062336376735,0.3998584694258188,4.789876057420458,2.0586400252565644,5.710414748532432,0.6047450689050623,6.462031384876796,2.624318715652242
19,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.10556332894734,0.3601230413601715,5.094657720838274,2.0050448546327226,5.76683919429779,0.5432877545624359,6.888555327483586,2.590849263913703
