ds,y
2024-04-20 12:00:00,18.666666666666668
2024-04-20 13:00:00,17.333333333333332
2024-04-20 14:00:00,20.5
2024-04-20 15:00:00,18.666666666666668
2024-04-20 16:00:00,26.0
2024-04-20 17:00:00,37.75
2024-04-20 18:00:00,26.25
2024-04-20 19:00:00,23.25
2024-04-20 20:00:00,23.25
2024-04-20 21:00:00,16.5
2024-04-20 22:00:00,28.0
2024-04-20 23:00:00,14.25
2024-04-21 00:00:00,3.0
2024-04-21 01:00:00,0.0
2024-04-21 02:00:00,0.0
2024-04-21 03:00:00,0.0
2024-04-21 04:00:00,0.0
2024-04-21 05:00:00,0.0
2024-04-21 06:00:00,1.5
2024-04-21 07:00:00,5.5
2024-04-21 08:00:00,5.75
2024-04-21 09:00:00,13.25
2024-04-21 10:00:00,14.75
2024-04-21 11:00:00,24.25
2024-04-21 12:00:00,23.0
2024-04-21 13:00:00,31.25
2024-04-21 14:00:00,26.0
2024-04-21 15:00:00,27.5
2024-04-21 16:00:00,24.5
2024-04-21 17:00:00,28.25
2024-04-21 18:00:00,36.25
2024-04-21 19:00:00,24.75
2024-04-21 20:00:00,27.75
2024-04-21 21:00:00,25.0
2024-04-21 22:00:00,9.25
2024-04-21 23:00:00,9.0
